,COUNTRY_ID,variable,value
0,AFG,1990,
1,ALB,1990,0.645
2,DZA,1990,0.5770000000000001
3,,1990,
4,AGO,1990,
5,ATG,1990,
6,ARG,1990,0.7040000000000001
7,,1990,0.631
8,AUS,1990,0.866
9,AUT,1990,0.795
10,,1990,
11,BHS,1990,
12,,1990,0.746
13,BGD,1990,0.387
14,BRB,1990,0.716
15,,1990,
16,BEL,1990,0.8059999999999999
17,BLZ,1990,0.644
18,BEN,1990,0.348
19,BTN,1990,
20,BOL,1990,0.536
21,BIH,1990,
22,,1990,0.581
23,BRA,1990,0.611
24,BRN,1990,0.782
25,BGR,1990,0.6940000000000001
26,BFA,1990,
27,,1990,0.297
28,,1990,
29,KHM,1990,0.364
30,CMR,1990,0.44
31,CAN,1990,0.8490000000000001
32,CAF,1990,0.317
33,,1990,
34,,1990,0.701
35,CHN,1990,0.502
36,COL,1990,0.5920000000000001
37,COM,1990,
38,COG,1990,0.536
39,COG,1990,0.35600000000000004
40,CRI,1990,0.6559999999999999
41,HRV,1990,0.67
42,CUB,1990,0.6759999999999999
43,,1990,0.732
44,,1990,0.73
45,CIV,1990,0.38799999999999996
46,,1990,0.799
47,DJI,1990,
48,DMA,1990,
49,DOM,1990,0.598
50,,1990,0.643
51,,1990,0.546
52,SLV,1990,0.529
53,GIN,1990,
54,,1990,
55,,1990,0.733
56,,1990,0.536
57,,1990,
58,FJI,1990,0.643
59,,1990,0.784
60,FRA,1990,0.779
61,GAB,1990,0.62
62,GMB,1990,0.33299999999999996
63,GEO,1990,
64,DEU,1990,0.8009999999999999
65,GHA,1990,0.455
66,GRC,1990,0.753
67,GRD,1990,
68,GTM,1990,0.478
69,GIN,1990,0.276
70,GIN,1990,
71,GUY,1990,0.5379999999999999
72,HTI,1990,0.409
73,HND,1990,0.506
74,HKG,1990,0.7809999999999999
75,,1990,0.7040000000000001
76,,1990,0.802
77,IND,1990,0.42700000000000005
78,IDN,1990,0.528
79,,1990,0.5770000000000001
80,,1990,0.5720000000000001
81,,1990,0.763
82,ISR,1990,0.792
83,ITA,1990,0.769
84,JAM,1990,0.638
85,JPN,1990,0.816
86,,1990,0.617
87,,1990,0.69
88,KEN,1990,0.46799999999999997
89,KIR,1990,
90,,1990,0.728
91,,1990,0.713
92,,1990,0.618
93,LAO,1990,0.4
94,,1990,0.7040000000000001
95,LBN,1990,
96,,1990,0.499
97,LBR,1990,
98,,1990,0.677
99,,1990,
100,,1990,0.732
101,,1990,0.782
102,MDG,1990,
103,,1990,0.34
104,MYS,1990,0.643
105,MDV,1990,
106,,1990,0.231
107,MLT,1990,0.74
108,MHL,1990,
109,,1990,0.374
110,MUS,1990,0.619
111,MEX,1990,0.65
112,,1990,
113,,1990,0.6509999999999999
114,,1990,0.579
115,MNE,1990,
116,,1990,0.45799999999999996
117,MOZ,1990,0.209
118,MMR,1990,0.359
119,,1990,0.579
120,NPL,1990,0.37799999999999995
121,NLD,1990,0.8290000000000001
122,NZL,1990,0.818
123,NIC,1990,0.489
124,,1990,0.21
125,NGA,1990,
126,,1990,0.85
127,,1990,
128,PAK,1990,0.40399999999999997
129,,1990,
130,,1990,
131,PAN,1990,0.66
132,GIN,1990,0.38
133,PRY,1990,0.58
134,PER,1990,0.611
135,PHL,1990,0.586
136,,1990,0.7120000000000001
137,,1990,0.711
138,,1990,0.754
139,ROU,1990,0.701
140,RUS,1990,0.7340000000000001
141,,1990,0.25
142,KNA,1990,
143,LCA,1990,
144,VCT,1990,
145,WSM,1990,0.62
146,,1990,0.45299999999999996
147,SAU,1990,0.6970000000000001
148,SEN,1990,0.36700000000000005
149,SRB,1990,0.718
150,SYC,1990,
151,SLE,1990,0.275
152,SGP,1990,0.718
153,SVK,1990,0.7390000000000001
154,SVN,1990,0.767
155,SLB,1990,
156,ZAF,1990,0.618
157,SDN,1990,
158,ESP,1990,0.754
159,LKA,1990,0.625
160,SDN,1990,0.331
161,SUR,1990,
162,,1990,0.816
163,CHE,1990,0.8320000000000001
164,,1990,
165,,1990,0.623
166,,1990,0.37
167,THA,1990,0.574
168,,1990,
169,TLS,1990,
170,,1990,0.405
171,TON,1990,0.648
172,TTO,1990,0.672
173,,1990,0.569
174,TUR,1990,0.579
175,,1990,
176,UGA,1990,0.311
177,,1990,0.705
178,,1990,0.727
179,,1990,0.775
180,,1990,0.86
181,URY,1990,0.6920000000000001
182,,1990,
183,VUT,1990,
184,VEN,1990,0.634
185,VNM,1990,0.475
186,YEM,1990,0.39899999999999997
187,ZMB,1990,0.401
188,ZWE,1990,0.491
189,AFG,1991,
190,ALB,1991,0.626
191,DZA,1991,0.581
192,,1991,
193,AGO,1991,
194,ATG,1991,
195,ARG,1991,0.713
196,,1991,0.628
197,AUS,1991,0.867
198,AUT,1991,0.8
199,,1991,
200,BHS,1991,
201,,1991,0.752
202,BGD,1991,0.39399999999999996
203,BRB,1991,0.718
204,,1991,
205,BEL,1991,0.81
206,BLZ,1991,0.6509999999999999
207,BEN,1991,0.354
208,BTN,1991,
209,BOL,1991,0.5429999999999999
210,BIH,1991,
211,,1991,0.588
212,BRA,1991,0.615
213,BRN,1991,0.787
214,BGR,1991,0.691
215,BFA,1991,
216,,1991,0.3
217,,1991,
218,KHM,1991,0.368
219,CMR,1991,0.436
220,CAN,1991,0.853
221,CAF,1991,0.312
222,,1991,
223,,1991,0.711
224,CHN,1991,0.51
225,COL,1991,0.595
226,COM,1991,
227,COG,1991,0.535
228,COG,1991,0.353
229,CRI,1991,0.6609999999999999
230,HRV,1991,0.665
231,CUB,1991,0.67
232,,1991,0.735
233,,1991,0.726
234,CIV,1991,0.387
235,,1991,0.804
236,DJI,1991,
237,DMA,1991,
238,DOM,1991,0.603
239,,1991,0.6459999999999999
240,,1991,0.55
241,SLV,1991,0.534
242,GIN,1991,
243,,1991,
244,,1991,0.728
245,,1991,0.537
246,,1991,
247,FJI,1991,0.6509999999999999
248,,1991,0.787
249,FRA,1991,0.7879999999999999
250,GAB,1991,0.625
251,GMB,1991,0.337
252,GEO,1991,
253,DEU,1991,0.809
254,GHA,1991,0.46
255,GRC,1991,0.763
256,GRD,1991,
257,GTM,1991,0.483
258,GIN,1991,0.28
259,GIN,1991,
260,GUY,1991,0.5329999999999999
261,HTI,1991,0.409
262,HND,1991,0.509
263,HKG,1991,0.7859999999999999
264,,1991,0.701
265,,1991,0.815
266,IND,1991,0.43200000000000005
267,IDN,1991,0.5329999999999999
268,,1991,0.594
269,,1991,0.527
270,,1991,0.767
271,ISR,1991,0.8
272,ITA,1991,0.774
273,JAM,1991,0.639
274,JPN,1991,0.821
275,,1991,0.627
276,,1991,0.684
277,KEN,1991,0.466
278,KIR,1991,
279,,1991,0.7390000000000001
280,,1991,0.6729999999999999
281,,1991,0.611
282,LAO,1991,0.405
283,,1991,0.6990000000000001
284,LBN,1991,
285,,1991,0.499
286,LBR,1991,
287,,1991,0.688
288,,1991,
289,,1991,0.728
290,,1991,0.79
