VECTOR,OCCURRENCE_ID,YEAR,COUNTRY,COUNTRY_ID
Aedes aegypti,1069,1991.0,South Africa,ZAF
Aedes aegypti,1070,1991.0,South Africa,ZAF
Aedes aegypti,1071,1991.0,South Africa,ZAF
Aedes aegypti,1072,1991.0,South Africa,ZAF
Aedes aegypti,1073,1991.0,South Africa,ZAF
Aedes aegypti,1074,1991.0,South Africa,ZAF
Aedes aegypti,1075,1991.0,South Africa,ZAF
Aedes aegypti,1076,1991.0,South Africa,ZAF
Aedes aegypti,1077,1991.0,South Africa,ZAF
Aedes aegypti,1078,1991.0,South Africa,ZAF
Aedes aegypti,1079,1991.0,Australia,AUS
Aedes aegypti,1080,1991.0,South Africa,ZAF
Aedes aegypti,1081,1991.0,Australia,AUS
Aedes aegypti,1082,1991.0,Australia,AUS
Aedes aegypti,1083,1991.0,Australia,AUS
Aedes aegypti,1084,1991.0,Australia,AUS
Aedes aegypti,1085,1991.0,Australia,AUS
Aedes aegypti,1086,1991.0,Australia,AUS
Aedes aegypti,1087,1991.0,Australia,AUS
Aedes aegypti,1088,1991.0,Australia,AUS
Aedes aegypti,1089,1991.0,Australia,AUS
Aedes aegypti,1090,1991.0,Australia,AUS
Aedes aegypti,1091,1991.0,Australia,AUS
Aedes aegypti,1092,1991.0,Australia,AUS
Aedes aegypti,1093,1991.0,Australia,AUS
Aedes aegypti,1094,1991.0,Australia,AUS
Aedes aegypti,1095,1991.0,Australia,AUS
Aedes aegypti,1096,1991.0,Australia,AUS
Aedes aegypti,1097,1991.0,Australia,AUS
Aedes aegypti,1098,1991.0,Australia,AUS
Aedes aegypti,1099,1991.0,Australia,AUS
Aedes aegypti,1100,1991.0,Australia,AUS
Aedes aegypti,1101,1991.0,Australia,AUS
Aedes aegypti,1102,1991.0,Australia,AUS
Aedes aegypti,1103,1991.0,Australia,AUS
Aedes aegypti,1104,1991.0,Australia,AUS
Aedes aegypti,1105,1991.0,Australia,AUS
Aedes aegypti,1106,1991.0,Fiji,FJI
Aedes aegypti,1107,1991.0,Fiji,FJI
Aedes aegypti,1108,1991.0,Australia,AUS
Aedes aegypti,1109,1991.0,Australia,AUS
Aedes aegypti,1110,1991.0,Australia,AUS
