Year,Country,Ocurrences,Temperature,Precipitation
1991,AUS,31,22.172074999999996,37.91295333333333
1991,BRA,2,25.10011666666666,139.38148333333334
1991,COL,1,24.54563333333333,173.87368333333336
1991,FJI,4,24.151858333333337,223.55636666666666
1991,GUF,1,25.670833333333334,218.72751666666667
1991,IND,1,24.220583333333327,83.86938333333332
1991,ITA,17,11.6815675,74.369725
1991,MAC,1,23.240849999999995,139.3112125
1991,MEX,1,21.018241666666665,63.625225
1991,MYS,1,25.663675,228.28166666666667
1991,NGA,8,26.918441666666666,99.95170333333334
1991,NPL,1,12.047411666666667,92.37409583333334
1991,PRI,1,25.380858333333332,137.89644166666668
1991,THA,4,26.98845833333333,116.90801499999999
1991,TTO,1,26.223883333333333,131.43701666666666
1991,USA,105,7.554736666666666,57.11594166666668
1991,ZAF,11,17.816391666666668,42.27556416666666
1992,ALB,1,11.429765833333335,60.177775000000004
1992,AUS,58,21.585058333333333,37.335425
1992,BRA,1,24.911716666666663,140.46835833333333
1992,CUB,2,25.612299999999994,92.76908333333334
1992,DJI,2,27.635458333333332,24.946895833333333
1992,FJI,3,23.914375000000003,174.17853333333332
1992,GUF,3,25.441783333333337,206.32176833333332
1992,IDN,14,26.08745,223.57000000000002
1992,IND,5,24.114783333333335,76.0071075
1992,ITA,6,12.3673475,78.93764166666666
1992,JPN,3,11.013124999999997,125.505275
1992,MYS,1,25.59018333333333,202.23299999999998
1992,NZL,1,8.945357499999998,142.30575
1992,PNG,5,25.233841666666663,223.83691666666667
1992,PRI,3,25.456658333333337,189.00084166666667
1992,THA,6,26.535533333333333,110.53786749999999
1992,TTO,1,26.04623333333333,124.30627500000001
1992,USA,218,7.047419166666667,56.55266666666666
1992,VEN,31,25.323875,134.04484166666668
1993,BRA,16,25.024808333333336,141.61453333333336
1993,CIV,2,26.395725,106.500975
1993,COM,2,25.291758333333334,125.82076666666666
1993,DOM,1,24.05591666666666,116.32403333333332
1993,GUF,1,25.362458333333336,245.8501
1993,IDN,4,26.03969166666667,213.99808333333337
1993,IND,3,24.34120833333333,82.41651749999998
1993,ITA,8,12.056321666666667,73.34761666666667
1993,MEX,6,21.179783333333333,63.70541499999999
1993,MYS,8,25.523,242.0623333333333
1993,PAK,2,20.4492175,19.895220833333333
1993,PAN,1,25.819950000000002,191.82855000000004
1993,PRI,14,25.517,155.91041666666666
1993,PYF,2,24.556758333333338,156.04896666666664
1993,THA,1,26.57545,110.94619416666667
1993,USA,181,7.082420833333334,59.04463333333333
1994,AUS,1,21.729275,27.977292499999994
1994,BRA,21,25.131625,152.1586
1994,CHN,1,7.011859166666667,48.88696666666667
1994,DOM,2,24.535591666666665,98.09586666666667
1994,GUF,8,25.30158333333333,247.16003333333333
1994,IND,2,24.2381,95.7757758333333
1994,ITA,21,12.956545000000004,74.19659166666668
1994,MEX,2,21.364383333333333,52.654783333333334
1994,MYS,22,25.585683333333336,260.32408333333336
1994,NIC,2,25.285683333333335,156.22650000000002
1994,PAK,1,20.1686375,35.6005225
1994,PYF,1,24.601483333333334,140.66675833333335
1994,TTO,13,26.32036666666666,131.32846666666669
1994,USA,72,7.3605833333333335,55.63131666666666
1994,VNM,3,24.657141666666664,175.30154166666668
1995,ARG,2,14.381900000000002,39.62055833333333
1995,AUS,4,21.607808333333335,43.84118833333334
1995,BRA,6,25.370649999999998,148.73555833333333
1995,COL,3,24.59575,229.3625916666667
1995,CUB,4,25.77746666666667,129.25592500000002
1995,GTM,22,23.740441666666666,248.65060000000003
1995,HND,2,23.96919166666666,188.47593333333336
1995,IDN,16,26.093841666666666,257.61949999999996
1995,IND,3,24.369850000000003,88.81776750000002
1995,ITA,1,11.934774999999997,77.19413333333333
1995,JAM,4,25.57455,197.94111666666666
1995,LBR,1,25.48483333333333,206.73441916666664
1995,MEX,12,21.32385833333333,59.75343333333333
1995,MYS,10,25.64965833333333,284.934
1995,NIC,1,25.19045,234.93112499999998
1995,PAN,5,25.749683333333333,184.26056666666668
1995,PHL,1,25.831200000000006,210.94842500000001
1995,SEN,10,28.30694166666667,54.595306666666666
1995,THA,18,26.531049999999997,132.85060666666666
1995,TTO,3,26.7359,113.67126666666667
1995,USA,83,7.464395833333334,56.65291666666667
1996,ALB,1,11.242713333333333,91.31858750000002
1996,ARG,16,14.442928333333334,49.12181666666666
1996,AUS,1,21.977449999999994,39.067566666666664
1996,BOL,1,20.751708333333333,85.58584083333334
1996,BRA,7,25.112758333333336,150.52627499999997
1996,CHN,4,6.407525,49.02897666666667
1996,CUB,3,25.077516666666668,118.05979166666668
1996,GRD,1,26.858324999999997,158.70815000000002
1996,GTM,1,23.344416666666664,223.11211666666665
1996,IND,4,24.450816666666668,85.27123916666667
1996,ITA,18,11.784149999999999,93.9979
1996,JPN,1,10.600161666666667,112.74475833333334
1996,LKA,5,27.070916666666673,143.31158250000001
1996,MEX,44,21.216716666666667,58.614399166666665
1996,MTQ,1,25.263074999999997,296.135875
1996,PER,1,19.21454166666667,133.045475
1996,PRI,3,25.12669166666667,138.76615833333332
1996,PYF,6,24.212416666666666,140.84704166666666
1996,SEN,10,28.651275,55.16189000000001
1996,SGP,2,27.68301666666667,234.82874999999999
1996,TTO,2,26.32524166666667,133.74215833333332
1996,USA,36,6.724854166666666,58.60108333333332
1996,VNM,1,24.126791666666666,160.02798333333334
1997,AUS,11,21.728008333333335,43.32812499999999
1997,BGD,1,24.836016666666666,192.99324083333332
1997,BLZ,1,26.10524166666666,166.86270833333333
1997,BOL,2,21.15235,92.23953333333334
1997,BRA,10,25.429391666666664,149.63879999999997
1997,CHN,1,6.876461666666668,46.80834166666667
1997,CIV,1,26.60761666666666,100.12405333333335
1997,COL,2,24.585916666666666,198.26716666666664
1997,CRI,1,50.50806666666666,246.9430583333333
1997,CUB,16,25.848975000000006,106.7138833333333
1997,CYM,1,27.708316666666665,80.41665
1997,GAB,1,24.868641666666665,150.43887583333336
1997,GUF,10,25.827924999999997,214.69952500000002
1997,IDN,4,26.179975,182.99215
1997,IND,64,23.976675,85.70254583333333
1997,ITA,1,12.4885775,70.96001666666668
1997,MEX,15,21.037233333333333,58.64447499999999
1997,PRI,1,25.252191666666672,117.42307499999998
1997,PYF,42,24.300116666666664,128.19029166666667
1997,THA,3,26.65109166666667,113.96942666666666
1997,USA,176,7.071867500000001,55.73578333333334
1997,VEN,3,25.785108333333337,149.07527499999998
1998,ARG,7,14.514306666666668,49.94856666666666
1998,BGD,1,25.519816666666667,232.12705166666663
1998,BOL,1,21.2537,83.3689525
1998,BRA,18,25.769966666666665,144.08468333333337
1998,CHN,1,7.497014999999998,53.602606666666674
1998,CIV,3,27.15721666666667,107.22634166666667
1998,COL,1,24.894724999999998,230.400875
1998,CUB,1,26.051075,94.43490833333334
1998,CYM,1,28.058283333333332,107.51623333333335
1998,GUF,16,26.351433333333336,197.57028333333335
1998,HND,1,24.318258333333333,165.85251416666665
1998,IDN,10,26.61621666666667,258.63166666666666
1998,IND,7,24.69071666666667,92.80697416666669
1998,LKA,2,27.726883333333337,116.44423666666667
1998,MDG,1,23.023625,142.41864166666664
1998,MEX,29,21.46105,63.3633975
1998,MTQ,1,25.97905,296.5068416666667
1998,MYS,2,26.24469166666667,243.29568333333336
1998,NGA,1,27.633041666666667,95.94707083333333
1998,PER,6,20.376425,122.11514166666666
1998,PRI,13,25.52610833333333,227.22775
1998,PYF,1,24.64075,148.20029166666666
1998,SGP,2,28.21420833333333,222.49595833333333
1998,THA,12,27.36908333333334,120.93018083333334
1998,TTO,7,27.028783333333337,150.06406666666666
1998,USA,62,8.116794999999998,60.167575
1998,VEN,2,26.14725,196.81162499999996
1998,VNM,56,25.339174999999994,147.69554166666666
1999,ARG,5,14.252250000000002,49.68379166666667
1999,AUS,11,21.734491666666667,48.25618333333333
1999,BFA,1,28.406750000000002,70.86599249999999
1999,BOL,1,20.64154166666667,90.58042416666667
1999,BRA,37,25.215625000000003,150.74895000000004
1999,CRI,5,48.51748333333333,252.98209999999997
1999,CUB,7,25.563158333333334,99.87429166666665
1999,CYM,3,27.283316666666668,108.59156666666667
1999,FRA,2,11.688708333333336,81.85230833333334
1999,IDN,2,26.091350000000002,256.47766666666666
1999,IND,18,24.55801666666666,81.99909416666667
1999,JPN,2,11.606103333333332,143.91830833333333
1999,LKA,1,26.962116666666663,149.00295000000003
1999,MDG,1,22.820758333333334,114.23371666666667
1999,MEX,52,20.946141666666666,63.8535075
1999,MYS,5,25.63008333333333,296.89125
1999,PER,8,19.329941666666667,147.438075
1999,PHL,9,25.799633333333333,270.4010833333333
1999,REU,18,30.56765833333333,108.23538333333333
1999,SEN,3,28.171783333333334,71.64084333333334
1999,TTO,5,26.72084166666667,149.24263333333334
1999,USA,70,7.2740800000000005,52.237500000000004
1999,VNM,3,24.304924999999997,186.9282916666667
2000,ARG,6,13.869855833333332,58.14715833333333
2000,AUS,5,21.340283333333335,56.68749166666666
2000,BGD,4,24.84125,202.79699916666672
2000,BRA,45,25.198925,162.30373333333333
2000,CIV,1,26.492825,106.7123125
2000,CUB,10,25.584733333333332,105.07359166666667
2000,CYM,5,27.474991666666668,93.49148333333335
2000,FRA,1,12.095233333333333,79.7137
2000,GHA,4,27.56595833333333,84.58591750000001
2000,HND,2,23.606916666666663,147.15542833333333
2000,IDN,1,26.072324999999996,259.2041666666667
2000,IND,6,24.48335833333333,79.60477416666666
2000,ITA,28,12.783755833333336,76.38301666666666
2000,JPN,18,11.373478333333333,127.72956666666666
2000,MEX,3,21.15475,60.39754833333333
2000,MMR,1,22.875741666666666,181.5067275
2000,PER,12,19.526858333333333,137.840375
2000,REU,2,30.751125000000002,113.61726999999998
2000,SEN,2,28.414241666666666,62.72593083333333
2000,SGP,2,27.658841666666664,233.11799999999997
2000,SLV,1,24.125841666666663,139.20242166666668
2000,THA,9,26.38031666666667,145.35329166666665
2000,TTO,1,26.433324999999996,144.97217500000002
2000,USA,96,7.486061666666665,52.55751666666666
2000,VEN,2,25.513791666666666,173.74425
2000,VNM,10,24.332158333333336,152.41450833333334
2001,ALB,1,12.350882500000003,64.44444166666666
2001,ARG,5,14.523695833333333,56.83104166666667
2001,AUS,5,21.4042,41.62895833333333
2001,BGD,4,25.551808333333337,156.5073375
2001,BRA,106,25.4739,149.03119999999998
2001,CHN,1,7.1039708333333325,45.65065833333333
2001,CIV,9,26.3721,118.42001583333332
2001,COL,5,24.511683333333337,210.863475
2001,CUB,12,25.702591666666667,123.750975
2001,CYM,2,27.633325000000003,105.01639166666666
2001,FJI,1,24.274483333333333,212.34895833333334
2001,GIN,16,26.190133333333335,127.30721333333334
2001,IDN,1,26.196933333333334,245.60933333333335
2001,IND,5,24.579908333333336,76.078865
2001,ITA,2,12.66019666666667,70.093225
2001,KHM,21,27.675691666666665,168.24929999999998
2001,LBN,1,17.373849166666666,47.42466666666667
