,Country,Year,Precipitation_x,Temperature_x,Ocurrences_x,Unnamed: 0,Precipitation_y,Temperature_y,Ocurrences_y,Entity,Urban (%),Rural (%)
0,ABW,1991,38.88296833333334,28.078008333333333,0.0,0,38.882968333333345,28.07800833333333,0.0,Aruba,50.304,49.695999
1,AFG,1991,36.931453333333344,13.118033333333331,0.0,1,36.931453333333344,13.118033333333333,0.0,Afghanistan,21.266,78.734001
2,AGO,1991,83.8449475,21.652199999999997,0.0,2,83.8449475,21.6522,0.0,Angola,38.58,61.419998
3,AIA,1991,113.63115833333335,26.108291666666663,0.0,3,113.63115833333336,26.108291666666666,0.0,Anguilla,100.0,0.0
4,ALB,1991,77.58703333333334,11.038935,0.0,4,77.58703333333334,11.038935,0.0,Albania,36.7,63.299999
5,ARG,1991,52.79295833333333,14.416430833333335,0.0,5,52.79295833333333,14.416430833333335,0.0,Argentina,87.32799999999997,12.672
6,ASM,1991,263.30791666666664,26.87996666666666,0.0,6,263.30791666666664,26.87996666666666,0.0,American Samoa,81.88600000000002,18.114
7,ATG,1991,183.33971666666665,26.413641666666663,0.0,7,183.33971666666665,26.413641666666663,0.0,Antigua and Barbuda,35.465,64.535004
8,AUS,1991,37.91295333333333,22.172074999999996,31.0,8,37.91295333333333,22.172075,31.0,Australia,85.40299999999998,14.597
9,AUT,1991,94.34331666666668,6.151395000000001,0.0,9,94.34331666666668,6.151395000000001,0.0,Austria,62.68899999999999,37.311001
10,BEL,1991,64.01754166666667,9.659015833333333,0.0,10,64.01754166666667,9.659015833333333,0.0,Belgium,96.461,3.539
11,BEN,1991,101.09564916666666,27.409108333333332,0.0,11,101.09564916666666,27.40910833333333,0.0,Benin,35.247,64.752998
12,BFA,1991,70.22452333333332,28.33005,0.0,12,70.22452333333332,28.33005,0.0,Burkina Faso,14.07,85.93
13,BGD,1991,224.33851666666666,24.931258333333332,0.0,13,224.33851666666664,24.93125833333333,0.0,Bangladesh,20.257,79.74299599999998
14,BGR,1991,54.21883333333334,9.996003333333332,0.0,14,54.21883333333334,9.996003333333332,0.0,Bulgaria,66.717,33.283001
